Cycle	Depth	angle_mean	angle_std	area_convex	area_px	area_um	circularity	cvgrey	datetime_fin	datetime_ini	eccentricity	elongation	esd_px	esd_um	extent	img_fin	img_ini	intgrey	kurtgrey	length	longest_distance	major_px	maxgrey	mean_orientation_particle	meangrey	mediangrey	mingrey	minor_px	orientation	perim_px	perimmajor	rangegrey	rayleigh_statistics	rmsd	roll_correction	seq	sinusoity_index	skewgrey	solidity	speed	stdgrey	step_length_mean	step_length_std	track_id	vertical_speed	vig_name	vx	deployment	path_to_vig	object_lat	object_lon	object_date	object_time	object_link	object_depth_min	object_depth_max	object_annotation_status	object_annotation_person_name	object_annotation_person_email	object_annotation_date	object_annotation_time	object_annotation_category	object_annotation_hierarchy	object_esd	object_orientation	sample_id	sample_dataportal_descriptor	sample_deployment	sample_depth	process_id	acq_id	acq_instrument	type
moose22_c1	500	44.29129584458161	3.0559608105212126	318	251	1223931.701134643	0.4156376636807769	43.24044238235719	2022-09-08 15:01:53.000	2022-09-08 15:01:50.000	0.7512752686117826	1.5151767843573087	17.876888032555495	1248.3421974521273	0.5565476190476191	20220908-150153-1	20220908-150150-1	23349	-0.8743026770956339	5	4.253574653231967	23.774416953692555	192	316.42206149917206	93.02390438247015	93	23	15.690853502468975	asc	79.01219330881975	3.4408871808285317	169	0.007168583599247064	19.537988816078407	3	20220908-150000	1.3919984568931956	0.03860550919912482	0.7529411764705882	336.1651759582191	41.22073250746702	2918.100485748431	1156.612331115013	moose22_c1500_20220908-150150-1-25	-234.3816805817777	moose22_c1500_20220908-150150-1-25.png	252.71782360184918	moose22_c1_500	C:\Users\Manon Laget\Desktop\UVP6_data\projects\paper_methodo\analyses\data\track_data\img_to_show\moose22_c1500_20220908-150150-1-25.png	NA	NA	NA	NA	NA	NA	NA	validated	Manon Laget	manon.laget@univ-littoral.fr	20230124	102255	true	not-living>detritus>true	1207.9964372205645	asc	moose22_c1_500	NA	moose22_c1	500	__DUMMY_ID__1695371__	__DUMMY_ID__442998__	NA	ascending
moose22_c1	500	39.68320915535531	10.242289805594076	288	204.5	970111.6087689558	0.4100148470392044	43.24876193576459	2022-09-08 15:01:58.000	2022-09-08 15:01:56.000	0.7349433488118089	1.4748703192165522	16.12741454831956	1110.6065217526518	0.5185319917440661	20220908-150158-1	20220908-150156-1	16309	-0.7231072552111564	4	0	23.128155784730712	174	7.033179945399923	80.89854456903387	79.5	23	15.55583790366272	asc	82.3050865276332	3.6226530197113016	151	0.03895412036803269	7.248241577739936	3	20220908-150000	1.3557005064754168	0.1688687791073245	0.7193781282275363	206.41857647523898	35.3291639924722	1592.7359295928934	328.6785932418435	moose22_c1500_20220908-150156-1-34	-129.98427767275328	moose22_c1500_20220908-150156-1-34.png	166.5190069735009	moose22_c1_500	C:\Users\Manon Laget\Desktop\UVP6_data\projects\paper_methodo\analyses\data\track_data\img_to_show\moose22_c1500_20220908-150156-1-34.png	NA	NA	NA	NA	NA	NA	NA	validated	Manon Laget	manon.laget@univ-littoral.fr	20230124	102255	true	not-living>detritus>true	1102.1924582046547	asc	moose22_c1_500	NA	moose22_c1	500	__DUMMY_ID__1695371__	__DUMMY_ID__442998__	NA	ascending
moose22_c1	500	157.95938097441487	25.62308425663336	304	194	913647.1265382472	0.35231225177034764	46.10660101544708	2022-09-08 15:05:13.000	2022-09-08 15:05:11.000	0.6147515391028008	1.2683431717157712	15.710180723475096	1078.0002502133693	0.4217391304347826	20220908-150513-1	20220908-150511-1	14125.5	-0.7161071757721187	4	0.5188379719654763	22.38510017229532	172	46.67249972404682	72.97031853925097	70	25	16.659081035525	mix	85.66904755831212	3.9279162597738435	147	0.07572632126171375	25.740347423348044	3	20220908-150000	2.3484390705731526	0.391430198346822	0.6378629324618265	237.06215149046142	33.73197118466302	1829.1832676733127	758.8181470387607	moose22_c1500_20220908-150511-1-82	-83.40477311867457	moose22_c1500_20220908-150511-1-82.png	209.75158124641186	moose22_c1_500	C:\Users\Manon Laget\Desktop\UVP6_data\projects\paper_methodo\analyses\data\track_data\img_to_show\moose22_c1500_20220908-150511-1-82.png	NA	NA	NA	NA	NA	NA	NA	validated	Manon Laget	manon.laget@univ-littoral.fr	20230124	102255	true	not-living>detritus>true	1107.091828118051	mix	moose22_c1_500	NA	moose22_c1	500	__DUMMY_ID__1695371__	__DUMMY_ID__442998__	NA	suspended
moose22_c1	500	296.2723138650747	11.508168703707248	101	92.5	393798.1455944772	0.8137700676438004	44.694020084117625	2022-09-08 15:13:49.500	2022-09-08 15:13:47.000	0.7154663946104574	1.43276339243522	10.852046567630188	708.0655562391416	0.7083333333333333	20220908-151349-2	20220908-151347-1	10289	-1.050883338184395	4	43.34542001322337	13.278279718987386	204.5	21.394153071853566	112.60918732430359	121.5	23	9.042035227949562	desc	37.470562748477136	2.861214327404729	181.5	0.04049618530651653	146.7581048071324	3	20220908-150000	1.9043795239034855	-0.27333471754972283	0.9093698854337152	1089.8866771281196	50.26852406544739	10512.024277856093	3196.2069384803776	moose22_c1500_20220908-151347-1-199	956.3734561486301	moose22_c1500_20220908-151347-1-199.png	360.31876327785966	moose22_c1_500	C:\Users\Manon Laget\Desktop\UVP6_data\projects\paper_methodo\analyses\data\track_data\img_to_show\moose22_c1500_20220908-151347-1-199.png	NA	NA	NA	NA	NA	NA	NA	validated	Manon Laget	manon.laget@univ-littoral.fr	20230123	211900	true	not-living>detritus>true	709.9642274490086	desc	moose22_c1_500	NA	moose22_c1	500	__DUMMY_ID__1695371__	__DUMMY_ID__442998__	NA	sinking
moose22_c1	500	275.16088841861995	13.348416196415078	81.5	73.5	303358.4190730117	0.8718810358454079	44.10794140920352	2022-09-08 15:14:05.000	2022-09-08 15:14:02.000	0.6495530144386319	1.3152442015334074	9.669298143074483	621.1123936268805	0.6527777777777778	20220908-151405-1	20220908-151402-1	7616.5	-0.6279489777559195	4	2.618951036926654	12.080871163253567	209.5	14.258626059777384	103.5521181716834	104	24	8.531557559932093	desc	33.26345596729059	2.854021616173388	186	0.0431269916445594	36.41638445412128	3	20220908-150000	2.3197522558348713	0.16051218625275446	0.902223230490018	388.44791837777086	45.67439421164262	4495.9249812242	2188.4639935903688	moose22_c1500_20220908-151402-1-205	380.26700430511687	moose22_c1500_20220908-151402-1-205.png	60.88051525423771	moose22_c1_500	C:\Users\Manon Laget\Desktop\UVP6_data\projects\paper_methodo\analyses\data\track_data\img_to_show\moose22_c1500_20220908-151402-1-205.png	NA	NA	NA	NA	NA	NA	NA	validated	Manon Laget	manon.laget@univ-littoral.fr	20230123	211900	true	not-living>detritus>true	624.1548262334369	desc	moose22_c1_500	NA	moose22_c1	500	__DUMMY_ID__1695371__	__DUMMY_ID__442998__	NA	sinking
moose22_c1	500	0.8199968068191197	7.484738744229085	78	70.5	289276.3069991732	0.8457610308006251	43.70870784605657	2022-09-08 15:15:57.000	2022-09-08 15:15:53.000	0.6752477475953502	1.3557814464706652	9.472864406582444	606.76897152485	0.6380471380471381	20220908-151557-1	20220908-151553-1	7082	-1.1412501116159763	6	5.167312131407893	11.401979429723372	172.5	344.75130031805463	99.18022260273972	104	23.5	8.608654196994674	mix	32.020815280171306	2.808319046309516	149	0.0013650598233409257	58.70370741309079	3	20220908-150000	1.2587685769292514	-0.13381760291115674	0.8866016612495486	526.3341806241706	42.496546465343705	4873.464635408986	1050.7151712173277	moose22_c1500_20220908-151553-1-226	-7.476618816301329	moose22_c1500_20220908-151553-1-226.png	522.1767081642753	moose22_c1_500	C:\Users\Manon Laget\Desktop\UVP6_data\projects\paper_methodo\analyses\data\track_data\img_to_show\moose22_c1500_20220908-151553-1-226.png	NA	NA	NA	NA	NA	NA	NA	validated	Manon Laget	manon.laget@univ-littoral.fr	20230201	105927	true	not-living>detritus>true	625.2052676398336	mix	moose22_c1_500	NA	moose22_c1	500	__DUMMY_ID__1695371__	__DUMMY_ID__442998__	NA	suspended
moose22_c1	500	109.10142398494129	35.912613463019795	160	104	449860.3423937722	0.6251507286540807	50.657002006312226	2022-09-08 15:20:30.000	2022-09-08 15:20:24.000	0.80546934418724625	1.6873722989801918	11.507254783503187	756.8222892752639	0.5753968253968254	20220908-152030-1	20220908-152024-1	7715	-0.8097361056877399	7	36.70807695953332	17.664875475992954	168	359.2719923992765	74.18269230769229	67	23	9.758126934725107	mix	53.870057685088796	2.9130316375195275	145	0.01044457629707708	57.65331392674284	3	20220908-150000	1.4163987712566497	0.3626722427859025	0.8333333333333334	356.2275531134545	36.371157529009146	4123.004086961279	2336.328150387243	moose22_c1500_20220908-152024-1-297	-300.59732005612636	moose22_c1500_20220908-152024-1-297.png	86.09871202511766	moose22_c1_500	C:\Users\Manon Laget\Desktop\UVP6_data\projects\paper_methodo\analyses\data\track_data\img_to_show\moose22_c1500_20220908-152024-1-297.png	NA	NA	NA	NA	NA	NA	NA	validated	Manon Laget	manon.laget@univ-littoral.fr	20230209	153925	true	not-living>detritus>true	804.869016247221	mix	moose22_c1_500	NA	moose22_c1	500	__DUMMY_ID__1695371__	__DUMMY_ID__442998__	NA	suspended
moose22_c1	500	36.63079978133544	26.03685367462002	175	141	635705.4515611021	0.5250989366020167	45.20154774571999	2022-09-08 16:02:56.000	2022-09-08 16:02:53.000	0.7833642480884493	1.6088713373259946	13.398001935192069	899.6038568982349	0.5920168067226891	20220908-160256-1	20220908-160253-1	9888.5	-0.6895019732819503	4	46.182015527229716	17.77858491596914	159	22.33782045343645	66.50490735644837	63.5	23.5	11.051266902940148	asc	59.68071785686864	3.55368961093516	135.5	0.0773941896648416	56.31656558014308	3	20220908-160000	1.9097311004605424	0.4306892097842008	0.8265293383270911	497.98717628234164	29.778719065878555	5763.740466230805	1532.0035528165708	moose22_c1500_20220908-160253-1-57	-267.43164821178584	moose22_c1500_20220908-160253-1-57.png	399.6877749999997	moose22_c1_500	C:\Users\Manon Laget\Desktop\UVP6_data\projects\paper_methodo\analyses\data\track_data\img_to_show\moose22_c1500_20220908-160253-1-57.png	NA	NA	NA	NA	NA	NA	NA	validated	Manon Laget	manon.laget@univ-littoral.fr	20230206	100744	true	not-living>detritus>true	902.6278720874856	asc	moose22_c1_500	NA	moose22_c1	500	__DUMMY_ID__1695371__	__DUMMY_ID__442998__	NA	ascending
moose22_c1	500	94.19619573492572	27.80075931412395	140	109.5	477019.9624716342	0.5946440926544722	46.89367658024768	2022-09-08 16:03:06.000	2022-09-08 16:03:00.000	0.7827157979133339	1.6068221468976371	11.806104820743869	779.2050175604977	0.6275210084033613	20220908-160306-1	20220908-160300-1	7937	-0.4463912601357114	8	62.079376900872596	15.92990831812168	166	14.706830629175444	68.45970873786408	65.25	24	10.018492719565751	asc	49.24873734152917	3.039814408637328	142	0.0010480494890893195	30.21189535758277	3	20220908-160000	1.23684197271759	0.5512010387651025	0.8047263681592041	373.5204113233453	33.257642307659125	3705.5596361442986	1116.0893921691177	moose22_c1500_20220908-160300-1-66	-334.398540105614	moose22_c1500_20220908-160300-1-66.png	141.13820000000098	moose22_c1_500	C:\Users\Manon Laget\Desktop\UVP6_data\projects\paper_methodo\analyses\data\track_data\img_to_show\moose22_c1500_20220908-160300-1-66.png	NA	NA	NA	NA	NA	NA	NA	validated	Manon Laget	manon.laget@univ-littoral.fr	20230207	191306	true	not-living>detritus>true	794.3727844694461	asc	moose22_c1_500	NA	moose22_c1	500	__DUMMY_ID__1695371__	__DUMMY_ID__442998__	NA	ascending
moose22_c1	500	23.053525570026693	21.668658134936276	414.5	322	1624247.1233143432	0.4549210100502835	41.863650775632784	2022-09-08 16:15:40.500	2022-09-08 16:15:31.000	0.8212516345908017	1.7526953946146384	20.248040236149336	1438.0735961090977	0.5124411618976836	20220908-161540-2	20220908-161531-1	33627.5	-0.8232339067933611	12	84.0440828078408	28.66438207059969	205.5	45.44871742066954	103.24686529503107	105	23	16.085428290892224	mix	95.7726009489054	3.3515738471371015	182.5	-3.68107131802619e-6	15.883492808591251	3	20220908-160000	1.2026862297881944	-0.07991194217935432	0.7830669484622328	361.85810404070327	42.80300746588773	3617.0580685886794	1521.060198547811	moose22_c1500_20220908-161531-1-265	-130.27872572529057	moose22_c1500_20220908-161531-1-265.png	316.18851019057115	moose22_c1_500	C:\Users\Manon Laget\Desktop\UVP6_data\projects\paper_methodo\analyses\data\track_data\img_to_show\moose22_c1500_20220908-161531-1-265.png	NA	NA	NA	NA	NA	NA	NA	validated	Tristan Biard	tbiard@sb-roscoff.fr	20230124	135702	t001	temporary>t001	1446.531026541573	mix	moose22_c1_500	NA	moose22_c1	500	__DUMMY_ID__1695371__	__DUMMY_ID__442998__	NA	suspended
